model,dataset,condition,n_samples,accuracy,recall,f1,attack_success_rate
RoBERTa-base,HC3,Clean,11820,0.9942,0.9995,0.9913,
BERT-base,HC3,Clean,11820,0.9895,0.9997,0.9845,
DistilBERT,HC3,Clean,11820,0.9948,0.9995,0.9922,
Hello-SimpleAI,HC3,Clean,11820,0.9953,0.9977,0.9929,
LogisticRegression,HC3,Clean,11820,0.9689,0.9364,0.9524,
RoBERTa-base,HC3,Pegasus-Attack,500,,0.066,,0.934
BERT-base,HC3,Pegasus-Attack,500,,0.816,,0.184
DistilBERT,HC3,Pegasus-Attack,500,,0.728,,0.272
Hello-SimpleAI,HC3,Pegasus-Attack,500,,0.072,,0.928
LogisticRegression,HC3,Pegasus-Attack,500,,0.706,,0.294
RoBERTa-base,HC3,QuillBot-Attack,500,,0.866,,0.134
BERT-base,HC3,QuillBot-Attack,500,,0.878,,0.122
DistilBERT,HC3,QuillBot-Attack,500,,0.81,,0.19
Hello-SimpleAI,HC3,QuillBot-Attack,500,,0.86,,0.14
LogisticRegression,HC3,QuillBot-Attack,500,,0.732,,0.268
RoBERTa-base,HC3,ChatGPT-Attack,500,,0.984,,0.016
BERT-base,HC3,ChatGPT-Attack,500,,0.968,,0.032
DistilBERT,HC3,ChatGPT-Attack,500,,0.932,,0.068
Hello-SimpleAI,HC3,ChatGPT-Attack,500,,0.972,,0.028
LogisticRegression,HC3,ChatGPT-Attack,500,,0.606,,0.394
RoBERTa-base,M4,Cross-Dataset,2000,0.77,0.651,0.7389,
BERT-base,M4,Cross-Dataset,2000,0.7045,0.443,0.5999,
DistilBERT,M4,Cross-Dataset,2000,0.6325,0.279,0.4316,
Hello-SimpleAI,M4,Cross-Dataset,2000,0.675,0.388,0.5442,
LogisticRegression,M4,Cross-Dataset,2000,0.5525,0.226,0.3356,
